Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
bow_1_2, 20, 5, 800, 0.8452, 0.8095051060487038, 0.8822330888345559, 0.8770212765957447, 0.8169811320754717, 2061, 289, 485, 2165
bow_1_2, 25, 5, 100, 0.836, 0.7914375490966221, 0.8822330888345559, 0.8745659722222222, 0.8030415430267063, 2015, 289, 531, 2165
bow_1_2, 25, 5, 400, 0.8394, 0.800471327572663, 0.8797881010594947, 0.8735533647663952, 0.8095238095238095, 2038, 295, 508, 2159
bow_1_2, 25, 5, 800, 0.8444, 0.8079340141398271, 0.8822330888345559, 0.8768115942028986, 0.8157498116051244, 2057, 289, 489, 2165
bow_1_2, 15, 7, 100, 0.8296, 0.7867242733699922, 0.8740831295843521, 0.8663494809688581, 0.7979910714285714, 2003, 309, 543, 2145
bow_1_2, 15, 7, 400, 0.8368, 0.7961508248232522, 0.8789731051344744, 0.8722030981067126, 0.8060538116591929, 2027, 297, 519, 2157
bow_1_2, 15, 7, 800, 0.8426, 0.8000785545954439, 0.8867155664221679, 0.879913606911447, 0.8104283054003725, 2037, 278, 509, 2176
bow_1_2, 20, 7, 100, 0.83, 0.7875098193244304, 0.8740831295843521, 0.8664649956784788, 0.7985852568875651, 2005, 309, 541, 2145
bow_1_2, 20, 7, 400, 0.8388, 0.8008641005498822, 0.8781581092094539, 0.8721129170230967, 0.80954169797145, 2039, 299, 507, 2155
bow_1_2, 20, 7, 800, 0.843, 0.8040062843676355, 0.8834555827220864, 0.8774110587226747, 0.8128983877015373, 2047, 286, 499, 2168
bow_1_2, 25, 7, 100, 0.8334, 0.7855459544383346, 0.8830480847595762, 0.8745080891998251, 0.7987467747880576, 2000, 287, 546, 2167
bow_1_2, 25, 7, 400, 0.8412, 0.8024351924587588, 0.8814180929095354, 0.8753213367609255, 0.8113278319579895, 2043, 291, 503, 2163
bow_1_2, 25, 7, 800, 0.8454, 0.8087195600942655, 0.8834555827220864, 0.8780383795309168, 0.816572504708098, 2059, 286, 487, 2168
bow_1_2, 15, 10, 100, 0.8264, 0.7827965435978005, 0.871638141809291, 0.8635181975736569, 0.7945765230312035, 1993, 315, 553, 2139
bow_1_2, 15, 10, 400, 0.835, 0.7937941869599372, 0.8777506112469438, 0.8707453683757002, 0.8040313549832027, 2021, 300, 525, 2154
bow_1_2, 15, 10, 800, 0.8426, 0.8008641005498822, 0.8859005704971475, 0.8792583009918068, 0.8108914584110407, 2039, 280, 507, 2174
bow_1_2, 20, 10, 100, 0.8292, 0.783974862529458, 0.876120619396903, 0.8678260869565217, 0.7962962962962963, 1996, 304, 550, 2150
bow_1_2, 20, 10, 400, 0.8378, 0.7985074626865671, 0.8785656071719642, 0.8721578721578721, 0.8077931809666542, 2033, 298, 513, 2156
bow_1_2, 20, 10, 800, 0.8448, 0.8067556952081697, 0.8842705786471068, 0.8785286569717707, 0.8151765589782118, 2054, 284, 492, 2170
bow_1_2, 25, 10, 100, 0.8342, 0.7922230950510605, 0.8777506112469438, 0.8705222270176953, 0.8028326500186359, 2017, 300, 529, 2154
bow_1_2, 25, 10, 400, 0.842, 0.8032207384131972, 0.8822330888345559, 0.87617823479006, 0.8120780195048762, 2045, 289, 501, 2165
bow_1_2, 25, 10, 800, 0.8458, 0.8110761979575806, 0.8818255908720456, 0.8768577494692145, 0.8181474480151228, 2065, 290, 481, 2164
bow_1_2, 15, 13, 100, 0.8322, 0.7851531814611155, 0.8810105949470253, 0.8725447402880838, 0.7980804724990771, 1999, 292, 547, 2162
bow_1_2, 15, 13, 400, 0.8348, 0.7949725058915946, 0.876120619396903, 0.8694158075601375, 0.8046407185628742, 2024, 304, 522, 2150
bow_1_2, 15, 13, 800, 0.842, 0.7996857816182247, 0.8859005704971475, 0.8791018998272885, 0.8099850968703428, 2036, 280, 510, 2174
bow_1_2, 20, 13, 100, 0.8364, 0.7926158680282797, 0.8818255908720456, 0.8743500866551126, 0.8038632986627043, 2018, 290, 528, 2164
bow_1_2, 20, 13, 400, 0.8388, 0.7985074626865671, 0.8806030969845151, 0.8740326741186586, 0.8081525804038893, 2033, 293, 513, 2161
bow_1_2, 20, 13, 800, 0.8432, 0.8024351924587588, 0.8854930725346374, 0.8790877796901894, 0.8120328849028401, 2043, 281, 503, 2173
bow_1_2, 25, 13, 100, 0.834, 0.7941869599371564, 0.8753056234718827, 0.8685567010309279, 0.8038922155688623, 2022, 306, 524, 2148
bow_1_2, 25, 13, 400, 0.841, 0.8071484681853889, 0.876120619396903, 0.8711318355235269, 0.814085573646346, 2055, 304, 491, 2150
bow_1_2, 25, 13, 800, 0.847, 0.8114689709347996, 0.8838630806845966, 0.8787749893662271, 0.8187995469988675, 2066, 285, 480, 2169
