Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
d2vdm100,20,2,800,0.817,0.823,0.811,0.819,0.815,2095,464,451,1990
d2vdm100,25,2,100,0.795,0.810,0.779,0.792,0.798,2062,542,484,1912
d2vdm100,25,2,400,0.814,0.823,0.804,0.813,0.814,2096,481,450,1973
d2vdm100,25,2,800,0.822,0.833,0.812,0.821,0.824,2120,462,426,1992
d2vdm100,15,3,100,0.799,0.810,0.788,0.798,0.800,2062,521,484,1933
d2vdm100,15,3,400,0.814,0.819,0.808,0.816,0.811,2084,470,462,1984
d2vdm100,15,3,800,0.815,0.822,0.808,0.816,0.814,2094,472,452,1982
d2vdm100,20,3,100,0.797,0.806,0.787,0.797,0.797,2053,522,493,1932
d2vdm100,20,3,400,0.813,0.819,0.807,0.815,0.811,2086,474,460,1980
d2vdm100,20,3,800,0.813,0.821,0.806,0.814,0.813,2090,477,456,1977
d2vdm100,25,3,100,0.794,0.806,0.782,0.793,0.795,2051,535,495,1919
d2vdm100,25,3,400,0.812,0.823,0.801,0.811,0.813,2095,488,451,1966
d2vdm100,25,3,800,0.812,0.822,0.802,0.812,0.813,2093,485,453,1969
d2vdm100,15,5,100,0.800,0.809,0.791,0.801,0.799,2059,513,487,1941
d2vdm100,15,5,400,0.812,0.822,0.802,0.812,0.813,2092,485,454,1969
d2vdm100,15,5,800,0.815,0.824,0.806,0.815,0.815,2097,477,449,1977
d2vdm100,20,5,100,0.801,0.810,0.791,0.801,0.801,2063,513,483,1941
d2vdm100,20,5,400,0.811,0.818,0.805,0.813,0.810,2082,479,464,1975
d2vdm100,20,5,800,0.817,0.821,0.814,0.821,0.814,2089,456,457,1998
d2vdm100,25,5,100,0.795,0.806,0.783,0.794,0.795,2052,533,494,1921
d2vdm100,25,5,400,0.811,0.819,0.802,0.811,0.810,2084,485,462,1969
d2vdm100,25,5,800,0.814,0.820,0.808,0.816,0.812,2087,470,459,1984
d2vdm100,15,7,100,0.802,0.813,0.791,0.801,0.803,2070,513,476,1941
d2vdm100,15,7,400,0.808,0.813,0.803,0.810,0.805,2070,484,476,1970
d2vdm100,15,7,800,0.809,0.818,0.801,0.810,0.809,2082,489,464,1965
d2vdm100,20,7,100,0.809,0.818,0.799,0.809,0.809,2082,493,464,1961
d2vdm100,20,7,400,0.812,0.821,0.804,0.813,0.812,2089,482,457,1972
d2vdm100,20,7,800,0.813,0.818,0.808,0.816,0.811,2083,471,463,1983
d2vdm100,25,7,100,0.804,0.821,0.786,0.799,0.809,2091,526,455,1928
d2vdm100,25,7,400,0.810,0.819,0.802,0.811,0.810,2084,487,462,1967
d2vdm100,25,7,800,0.812,0.817,0.806,0.814,0.809,2080,475,466,1979
d2vdm100,15,10,100,0.806,0.814,0.797,0.807,0.805,2072,497,474,1957
d2vdm100,15,10,400,0.808,0.814,0.801,0.809,0.806,2072,488,474,1966
d2vdm100,15,10,800,0.811,0.817,0.804,0.813,0.809,2081,480,465,1974
d2vdm100,20,10,100,0.804,0.816,0.793,0.803,0.806,2077,509,469,1945
d2vdm100,20,10,400,0.814,0.823,0.805,0.814,0.815,2096,478,450,1976
d2vdm100,20,10,800,0.813,0.818,0.807,0.815,0.810,2082,473,464,1981
d2vdm100,25,10,100,0.810,0.824,0.795,0.807,0.813,2098,502,448,1952
d2vdm100,25,10,400,0.815,0.822,0.807,0.815,0.814,2093,474,453,1980
d2vdm100,25,10,800,0.810,0.816,0.804,0.812,0.808,2078,482,468,1972
d2vdm100,15,13,100,0.801,0.813,0.789,0.799,0.802,2069,519,477,1935
d2vdm100,15,13,400,0.810,0.813,0.806,0.813,0.806,2071,477,475,1977
d2vdm100,15,13,800,0.809,0.815,0.803,0.811,0.807,2074,483,472,1971
d2vdm100,20,13,100,0.795,0.798,0.791,0.799,0.791,2032,512,514,1942
