Model name, C, solver, penalty, l1_ratio, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
d2vdm, 0.001, newton-cg, l2, -1, 0.8326, 0.8597800471327572, 0.80440097799511, 0.8201573623079805, 0.8468468468468469, 2189, 480, 357, 1974
d2vdm, 0.0001, newton-cg, l2, -1, 0.8254, 0.8460329929300864, 0.8039934800325998, 0.8174573055028463, 0.8342494714587738, 2154, 481, 392, 1973
d2vdm, 0.001, lbfgs, l2, -1, 0.8326, 0.8597800471327572, 0.80440097799511, 0.8201573623079805, 0.8468468468468469, 2189, 480, 357, 1974
d2vdm, 0.0001, lbfgs, l2, -1, 0.8254, 0.8460329929300864, 0.8039934800325998, 0.8174573055028463, 0.8342494714587738, 2154, 481, 392, 1973
d2vdm, 0.001, liblinear, l2, -1, 0.8328, 0.8421052631578947, 0.8231458842705787, 0.8316524437548487, 0.8340214698596201, 2144, 434, 402, 2020
d2vdm, 0.0001, liblinear, l2, -1, 0.8296, 0.8397486252945797, 0.8190709046454768, 0.8280402788536019, 0.8312655086848635, 2138, 444, 408, 2010
d2vdm, 0.001, sag, l2, -1, 0.8326, 0.8597800471327572, 0.80440097799511, 0.8201573623079805, 0.8468468468468469, 2189, 480, 357, 1974
d2vdm, 0.0001, sag, l2, -1, 0.8256, 0.8464257659073056, 0.8039934800325998, 0.81752655538695, 0.8346023688663282, 2155, 481, 391, 1973
d2vdm, 0.001, saga, l1, -1, 0.76, 0.7710133542812254, 0.7485737571312143, 0.7608527131782946, 0.759090909090909, 1963, 617, 583, 1837
d2vdm, 0.0001, saga, l1, -1, 0.5092, 1.0, 0.0, 0.5092, nan, 2546, 2454, 0, 0
d2vdm, 0.001, saga, l2, -1, 0.8326, 0.8597800471327572, 0.80440097799511, 0.8201573623079805, 0.8468468468468469, 2189, 480, 357, 1974
d2vdm, 0.0001, saga, l2, -1, 0.8254, 0.8460329929300864, 0.8039934800325998, 0.8174573055028463, 0.8342494714587738, 2154, 481, 392, 1973

d2vdbow, 0.001, newton-cg, l2, -1, 0.849, 0.8766692851531814, 0.8202933985330073, 0.835016835016835, 0.8650623119896863, 2232, 441, 314, 2013
d2vdbow, 0.0001, newton-cg, l2, -1, 0.846, 0.8703849175176748, 0.8207008964955175, 0.8343373493975904, 0.8592150170648464, 2216, 440, 330, 2014
d2vdbow, 0.001, lbfgs, l2, -1, 0.849, 0.8766692851531814, 0.8202933985330073, 0.835016835016835, 0.8650623119896863, 2232, 441, 314, 2013
d2vdbow, 0.0001, lbfgs, l2, -1, 0.846, 0.8703849175176748, 0.8207008964955175, 0.8343373493975904, 0.8592150170648464, 2216, 440, 330, 2014
d2vdbow, 0.001, liblinear, l2, -1, 0.853, 0.8695993715632364, 0.8357783211083945, 0.8460068781047, 0.8606798153587915, 2214, 403, 332, 2051
d2vdbow, 0.0001, liblinear, l2, -1, 0.8472, 0.8605655930871956, 0.8333333333333334, 0.8426923076923077, 0.8520833333333333, 2191, 409, 355, 2045
d2vdbow, 0.001, sag, l2, -1, 0.849, 0.8766692851531814, 0.8202933985330073, 0.835016835016835, 0.8650623119896863, 2232, 441, 314, 2013
d2vdbow, 0.0001, sag, l2, -1, 0.846, 0.8703849175176748, 0.8207008964955175, 0.8343373493975904, 0.8592150170648464, 2216, 440, 330, 2014
d2vdbow, 0.001, saga, l1, -1, 0.4908, 0.0, 1.0, nan, 0.4908, 0, 0, 2546, 2454
d2vdbow, 0.0001, saga, l1, -1, 0.4908, 0.0, 1.0, nan, 0.4908, 0, 0, 2546, 2454
d2vdbow, 0.001, saga, l2, -1, 0.849, 0.8766692851531814, 0.8202933985330073, 0.835016835016835, 0.8650623119896863, 2232, 441, 314, 2013
d2vdbow, 0.0001, saga, l2, -1, 0.846, 0.8703849175176748, 0.8207008964955175, 0.8343373493975904, 0.8592150170648464, 2216, 440, 330, 2014

